Structure	Abbreviation	Level 1	Level 2	Level 3	Level 4	Value
ventricles	LV	ventricles	ventricles	ventricles	ventricles	1
medulla	Md	hindbrain	myelencephalon	medulla	medulla	2
pons	Pn	hindbrain	metencephalon	pons	pons	3
cerebellum	Cb	hindbrain	metencephalon	cerebellum	cerebellum	4
midbrain	MB	midbrain	midbrain	midbrain	midbrain	5
anterior pulvinar	Apul	forebrain	diencephalon	p2	thalamus	6
anteromedial thalamic nucleus	AM#1	forebrain	diencephalon	p2	thalamus	7
anteroventral thalamic nucleus	AV	forebrain	diencephalon	p2	thalamus	8
central medial thalamic nucleus	CM#2	forebrain	diencephalon	p2	thalamus	9
centrolateral thalamic nucleus	Cl#2	forebrain	diencephalon	p2	thalamus	10
centromedian thalamic nucleus, lateral part	CMnL	forebrain	diencephalon	p2	thalamus	11
centromedian thalamic nucleus, medial part	CMnM	forebrain	diencephalon	p2	thalamus	12
inferior pulvinar	Ipul	forebrain	diencephalon	p2	thalamus	13
interanteromedial thalamic nucleus	IAM	forebrain	diencephalon	p2	thalamus	14
intermediodorsal thalamic nucleus	IMD	forebrain	diencephalon	p2	thalamus	15
lateral dorsal thalamic nucleus, superficial part	LDSF	forebrain	diencephalon	p2	thalamus	16
lateral pulvinar	Lpul	forebrain	diencephalon	p2	thalamus	17
medial geniculate nucleus, dorsal part	MGD	forebrain	diencephalon	p2	thalamus	18
medial geniculate nucleus, medial part	MGM	forebrain	diencephalon	p2	thalamus	19
medial geniculate nucleus, ventral part	MGV	forebrain	diencephalon	p2	thalamus	20
medial pulvinar	MPul	forebrain	diencephalon	p2	thalamus	21
mediodorsal thalamic nucleus, central part	MDC	forebrain	diencephalon	p2	thalamus	22
mediodorsal thalamic nucleus, dorsal part	MDD	forebrain	diencephalon	p2	thalamus	23
mediodorsal thalamic nucleus, lateral part	MDL	forebrain	diencephalon	p2	thalamus	24
mediodorsal thalamic nucleus, medial part	MDM	forebrain	diencephalon	p2	thalamus	25
paracentral thalamic nucleus	Pc#3	forebrain	diencephalon	p2	thalamus	26
parafascicular thalamic nucleus	Pf#2	forebrain	diencephalon	p2	thalamus	27
