Structure,Abbreviation,Level_1,Level_2,Level_3,Level_4,Value
Cingulate_Cortex_Area_24a,A24a,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1
Cingulate_Cortex_Area_32,A32,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,9
Primary_Auditory_Cortex,Au1,1_forebrain,1_secondary_prosencephalon,1_isocortex,6_medial_pallium,10
Secondary_Auditory_Cortex_Dorsal_Part,AuD,1_forebrain,1_secondary_prosencephalon,1_isocortex,3_temporal_cortex,11
Dorsolateral_Orbital_Cortex,DLO,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,13
Lateral_Parietal_Association_Cortex,LPtA,1_forebrain,1_secondary_prosencephalon,1_isocortex,12_parietal_cortex,18
Primary_Somatosensory_Cortex_Dysgranular_Zone,S1DZ,1_forebrain,1_secondary_prosencephalon,1_isocortex,4_insular_cortex,26
Secondary_Visual_Cortex_Mediomedial_Area,V2MM,1_forebrain,1_secondary_prosencephalon,1_isocortex,13_occipital_cortex,40
Ventral_Orbital_Cortex,VO,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,41
Claustrum,Cl,1_forebrain,1_secondary_prosencephalon,2_lateral_pallium,7_lateral_pallium,47
Posterior_Commissure,pc,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,131
